InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
730380,P1358,Laptop,12,2024-01-29,6,75,France
151545,P5788,Jacket,15,2024-12-29,21,91,Kenya
202839,P8297,Headphones,39,2025-04-29,91,52,Canada
679315,P7372,Backpack,45,2023-03-25,83,76,USA
658226,P9505,Jacket,38,2023-03-25,18,69,USA
705548,P7061,Monitor,45,2025-05-21,67,47,Canada
748780,P1519,Headphones,36,2024-08-01,18,22,Kenya
396461,P1605,Phone Case,47,2025-07-11,11,36,Kenya
207800,P2167,Headphones,49,2024-12-23,21,11,USA
438196,P7327,Keyboard,15,2025-06-30,17,65,France
788954,P6946,Phone Case,45,2023-05-30,54,34,USA
298145,P7431,Jacket,34,2023-01-11,20,73,UK
605810,P3076,Shoes,26,2024-07-15,48,43,Germany
481245,P8761,Shoes,18,2024-01-17,92,32,USA
457484,P6320,Headphones,36,2024-02-29,65,36,UAE
383637,P8127,Backpack,31,2023-01-11,40,6,Kenya
790453,P7256,Backpack,38,2023-03-28,42,50,Canada
857209,P4495,Keyboard,20,2025-03-23,53,88,USA
358319,P1630,Laptop,33,2023-05-01,82,75,Kenya
776809,P3836,Laptop,33,2024-10-16,86,78,France
690666,P9515,Backpack,17,2023-02-27,95,3,Germany
133968,P5040,Laptop,4,2025-08-01,19,26,Kenya
302567,P7298,Phone Case,41,2025-04-10,67,43,France
907690,P4469,Laptop,45,2023-03-24,14,21,Germany
370645,P7939,Laptop,23,2025-03-08,40,59,USA
924745,P8419,Keyboard,19,2024-02-08,92,84,UK
898379,P4260,Backpack,21,2024-05-19,98,13,UAE
443435,P6746,Shoes,40,2024-08-23,72,84,Kenya
486179,P8772,Laptop,9,2023-07-23,36,64,UK
429469,P1875,Backpack,32,2024-05-29,75,34,Canada
729070,P5730,Headphones,43,2024-06-25,48,34,Germany
612549,P6320,Jeans,36,2023-11-28,47,49,Germany
981873,P8172,Jeans,2,2024-05-21,37,31,France
116351,P9053,Jacket,25,2024-04-24,76,82,Germany
424986,P6978,Jeans,9,2024-11-16,97,11,UAE
913969,P8094,Headphones,12,2023-02-10,75,7,UAE
900429,P5553,Phone Case,23,2024-01-12,30,8,USA
917404,P3769,Keyboard,31,2025-04-22,43,64,Kenya
880607,P1455,Keyboard,6,2024-11-18,22,79,UAE
757866,P3581,T-Shirt,9,2024-08-13,2,96,Canada
251266,P1583,Backpack,2,2023-01-12,2,19,Germany
794803,P9846,Backpack,23,2024-05-26,38,95,USA
947570,P6734,Phone Case,38,2024-05-30,80,39,Canada
213506,P7349,Phone Case,30,2024-12-14,29,33,France
114196,P9048,Jeans,22,2025-06-01,75,90,UK
926770,P5390,Keyboard,46,2025-04-20,11,98,Canada
585312,P8258,Laptop,22,2023-03-03,99,53,USA
135048,P4037,T-Shirt,16,2023-06-26,9,28,France
149747,P5126,Monitor,25,2023-04-16,51,75,France
249173,P8811,Keyboard,47,2024-10-27,19,64,Kenya
589550,P4513,Headphones,44,2025-07-15,78,55,UK
335519,P8846,Shoes,41,2023-02-16,11,94,UK
706966,P3969,Laptop,43,2024-08-24,21,19,UK
665608,P3831,Keyboard,34,2023-02-10,26,38,Germany
300816,P4535,Jeans,2,2023-06-04,68,6,Kenya
616195,P4541,Shoes,21,2023-12-06,38,91,UAE
559889,P2135,Jacket,24,2023-01-03,45,92,USA
682612,P6713,Keyboard,24,2023-06-01,97,56,Canada
282256,P7837,Shoes,29,2024-08-21,4,58,UK
730515,P8949,Laptop,45,2023-07-03,26,81,Canada
671535,P8033,T-Shirt,16,2024-07-28,52,69,USA
687263,P1855,Backpack,3,2023-01-26,10,14,Kenya
693018,P4718,Keyboard,15,2024-05-15,81,59,UAE
992380,P8589,Monitor,16,2024-10-18,67,72,USA
150818,P1212,Laptop,46,2023-03-24,65,15,Kenya
420037,P5180,Headphones,24,2024-02-20,46,85,Canada
526797,P4015,Keyboard,6,2023-06-06,76,54,Germany
987261,P4920,Jacket,39,2025-01-20,13,22,USA
454735,P5695,Jeans,23,2024-02-27,27,24,Kenya
602556,P2976,Laptop,28,2025-03-27,19,86,USA
479052,P6458,Laptop,39,2023-07-28,14,63,UK
940441,P1407,Backpack,24,2023-07-18,53,21,Germany
535915,P6647,Headphones,3,2025-02-24,56,64,UAE
112099,P8535,T-Shirt,18,2023-10-20,54,25,Canada
550135,P9395,Monitor,22,2024-09-18,35,94,France
167001,P6370,Laptop,15,2023-09-28,86,24,USA
387199,P8399,Phone Case,13,2024-01-13,9,65,UK
309218,P7403,Phone Case,6,2024-11-11,35,45,UAE
476003,P6530,Keyboard,13,2023-02-02,2,35,Canada
590503,P4017,T-Shirt,20,2024-03-22,42,18,Germany
645355,P7204,Keyboard,47,2023-02-03,24,17,Kenya
264519,P7444,Monitor,6,2025-02-02,70,90,UAE
434154,P8393,Monitor,31,2024-06-07,12,3,France
937368,P2086,Keyboard,29,2023-06-05,77,46,Canada
586138,P1407,Monitor,31,2025-01-11,6,61,Kenya
603288,P9780,Keyboard,8,2024-11-30,80,69,UK
984035,P6346,Backpack,31,2024-09-22,58,48,USA
894509,P6200,Monitor,45,2024-09-27,86,69,UAE
762200,P6699,Backpack,3,2024-03-02,55,77,Kenya
371083,P9475,Keyboard,11,2023-01-25,18,100,USA
290580,P2409,Phone Case,3,2024-12-11,4,44,USA
546729,P1876,T-Shirt,21,2025-04-20,88,61,UK
419438,P8769,Shoes,24,2024-10-19,32,97,France
838785,P5622,Laptop,9,2023-02-16,58,76,Canada
264075,P3331,Shoes,29,2023-11-01,13,22,Kenya
667220,P9189,Shoes,13,2023-09-15,92,79,Canada
167068,P9526,Jeans,43,2024-03-27,80,93,Germany
292900,P8136,Headphones,6,2025-06-25,89,34,UK
784917,P1268,Keyboard,23,2024-12-26,71,47,Canada
905041,P2465,Monitor,22,2025-04-14,46,89,USA
345338,P9264,T-Shirt,20,2023-09-05,73,79,USA
776354,P2166,Shoes,37,2024-04-20,8,96,Germany
142081,P3076,Keyboard,10,2025-06-09,7,98,France
696470,P7976,Jacket,21,2023-09-09,80,44,UAE
955487,P3329,Keyboard,4,2023-10-13,81,93,UK
135566,P9872,T-Shirt,5,2024-10-15,83,9,UAE
459377,P6039,Jeans,37,2024-01-27,23,5,France
797983,P2481,Monitor,41,2023-04-25,44,64,UK
305882,P4029,Phone Case,8,2025-04-22,80,37,France
660425,P7836,Laptop,25,2025-06-30,59,59,USA
487825,P2988,Jeans,40,2023-10-29,55,32,Germany
987149,P4882,Phone Case,12,2023-10-09,80,91,Germany
230227,P9501,Jacket,10,2025-03-23,89,75,France
249712,P7811,Monitor,36,2023-08-07,75,8,Germany
861254,P2257,Monitor,33,2025-07-03,84,13,Canada
231589,P9745,Laptop,16,2023-04-09,38,98,Germany
537560,P7448,Laptop,49,2024-12-12,23,47,France
624870,P2923,Monitor,48,2025-06-23,45,35,Canada
213998,P1145,Headphones,21,2025-01-08,87,32,USA
917331,P8263,T-Shirt,32,2025-06-09,39,7,France
250471,P3486,T-Shirt,42,2024-06-13,7,88,Kenya
589867,P5789,Monitor,27,2023-05-14,19,64,Canada
336860,P6489,Shoes,49,2024-08-19,48,51,USA
481608,P6171,Laptop,31,2023-02-05,87,1,UAE
365358,P7998,Jeans,45,2024-06-22,77,77,France
403774,P9869,T-Shirt,48,2023-03-14,87,71,Germany
774954,P6797,Shoes,46,2023-09-26,43,24,UAE
383871,P8116,Monitor,7,2024-01-02,54,3,France
193523,P8284,T-Shirt,8,2025-03-09,38,67,Canada
770409,P1821,Shoes,20,2024-09-26,23,30,France
965468,P8146,Keyboard,22,2025-08-05,81,75,Canada
688124,P2872,Headphones,8,2024-08-28,48,64,Germany
486388,P2816,Headphones,31,2025-06-30,65,40,Kenya
627839,P2178,Monitor,42,2023-04-16,2,87,USA
492748,P6423,Headphones,39,2023-10-31,65,12,USA
839239,P6307,Jeans,23,2023-03-07,35,92,France
541672,P4876,Jacket,7,2024-09-29,95,69,USA
960065,P1027,T-Shirt,29,2023-03-03,19,87,UK
655156,P1823,Monitor,41,2023-04-18,58,3,Canada
693367,P6593,Monitor,18,2024-11-05,1,59,UAE
907382,P2351,Backpack,41,2025-02-14,3,1,UAE
404792,P2577,T-Shirt,27,2024-01-31,98,35,Germany
699653,P2313,Backpack,24,2024-12-03,29,89,Kenya
203581,P4094,Phone Case,39,2023-04-23,33,20,UK
531006,P4180,Monitor,4,2024-02-28,61,48,Kenya
727264,P6859,Jeans,47,2023-03-21,8,9,UK
343289,P5192,Jacket,34,2024-05-11,72,33,France
785572,P7522,Shoes,5,2023-06-03,99,28,Kenya
522508,P5400,Laptop,4,2024-03-02,38,45,Kenya
505642,P6724,Backpack,25,2023-02-09,21,49,UAE
564945,P9109,T-Shirt,7,2024-07-26,39,28,Germany
541695,P6225,Keyboard,11,2023-10-02,83,41,USA
647278,P8596,T-Shirt,1,2023-11-12,81,60,Canada
589224,P8170,Keyboard,45,2024-10-11,30,45,France
622629,P4825,T-Shirt,11,2024-10-18,83,24,UAE
532535,P9882,Backpack,24,2023-01-10,75,63,Germany
169031,P3662,Backpack,37,2024-02-27,5,77,France
616422,P6970,T-Shirt,24,2024-09-20,32,17,UAE
687641,P9401,T-Shirt,35,2024-10-15,36,38,USA
285581,P8996,Backpack,8,2023-03-06,71,34,USA
226740,P3388,Keyboard,34,2025-04-09,69,71,Germany
580211,P8624,T-Shirt,19,2024-12-27,86,65,USA
943244,P5090,Laptop,10,2025-03-10,90,45,Kenya
638960,P6348,Monitor,29,2023-12-11,81,1,Canada
180409,P6663,Shoes,13,2024-10-04,77,23,Kenya
238258,P1515,Jeans,17,2025-07-24,53,100,Germany
653807,P6955,Monitor,9,2025-07-31,81,37,UK
633716,P4186,Keyboard,6,2023-12-28,15,80,UK
458351,P6895,Jeans,29,2024-10-11,72,37,UAE
561399,P4384,Keyboard,15,2024-02-27,40,10,Canada
888599,P7156,Monitor,17,2024-06-15,47,6,France
805120,P2179,Shoes,32,2023-01-08,70,73,UK
409150,P7192,Shoes,15,2024-12-23,15,31,UK
105946,P1411,Headphones,18,2023-06-04,48,58,UAE
668730,P1911,Headphones,26,2023-09-04,9,99,UAE
708728,P5916,Headphones,43,2024-11-14,80,75,Canada
997936,P6524,Phone Case,47,2023-03-10,23,45,Kenya
505921,P1091,Phone Case,14,2025-01-11,62,51,UAE
943717,P4368,Headphones,35,2023-08-20,12,27,UAE
639050,P1770,Headphones,18,2023-11-26,9,74,France
893912,P5491,Keyboard,47,2024-05-08,80,83,France
380028,P8714,Jeans,16,2023-03-14,68,13,France
996973,P6280,Jacket,41,2024-03-02,49,57,UAE
362965,P4055,Monitor,34,2024-10-25,44,60,Canada
686808,P9386,Jeans,29,2023-08-16,90,70,Kenya
715330,P8433,Phone Case,32,2024-01-24,72,36,UK
511214,P4529,Keyboard,39,2024-03-01,51,38,Kenya
219444,P4308,Shoes,9,2023-07-12,35,60,Kenya
371176,P6110,Backpack,29,2024-09-24,81,92,UAE
739280,P9109,Jeans,13,2025-03-19,16,39,France
993472,P6246,T-Shirt,23,2025-04-12,79,16,Canada
318514,P8979,Backpack,15,2024-09-17,18,9,USA
250946,P2659,Backpack,4,2024-01-23,54,45,UK
835077,P3226,Monitor,33,2025-07-27,42,63,UAE
797849,P1273,Monitor,20,2023-01-17,74,21,UAE
795401,P6499,Monitor,4,2025-06-15,26,73,Kenya
968161,P2590,Jacket,34,2024-10-09,47,86,UK
377532,P1605,Backpack,1,2024-06-15,71,30,Canada
980700,P9666,Phone Case,37,2025-01-10,39,29,Kenya
730552,P2687,Laptop,37,2025-08-04,70,30,UAE
414058,P2434,Laptop,39,2024-08-23,90,79,UAE
610057,P7918,Headphones,16,2024-11-19,30,43,Kenya
232088,P9742,T-Shirt,33,2025-05-14,55,62,Germany
350900,P4659,Backpack,14,2025-07-16,80,35,Kenya
790378,P7234,Jeans,28,2025-04-11,95,13,UK
631901,P7831,Laptop,15,2024-02-26,41,75,France
714536,P3453,Jeans,13,2025-06-11,69,51,UAE
776326,P9999,Laptop,4,2025-04-25,97,15,Kenya
868541,P1889,Laptop,6,2024-04-24,29,22,UK
364894,P3701,Laptop,43,2023-01-15,14,46,Canada
256024,P8889,Keyboard,1,2023-08-09,74,56,Germany
557200,P2550,Monitor,47,2025-03-12,81,54,USA
229593,P9122,Phone Case,7,2024-05-01,21,58,UAE
954280,P8279,T-Shirt,2,2024-06-05,96,55,Kenya
791250,P5429,Jacket,34,2024-06-30,35,51,UAE
953955,P5598,Backpack,47,2024-09-19,34,44,Canada
258567,P6233,Phone Case,39,2024-08-16,98,53,USA
896119,P4222,Jacket,34,2025-05-27,30,96,UK
144846,P2057,Backpack,32,2023-04-11,6,26,Kenya
722857,P4769,Headphones,19,2025-04-24,16,16,USA
917677,P4471,Keyboard,28,2024-12-02,69,47,UK
775902,P1624,Monitor,26,2024-09-11,3,7,France
152749,P1833,Keyboard,26,2025-02-03,68,50,UK
197770,P4047,Shoes,47,2023-08-04,23,62,USA
238891,P5025,Jacket,29,2023-09-19,27,56,Germany
509258,P6610,Keyboard,42,2025-01-20,46,53,Kenya
809765,P7387,Phone Case,42,2025-06-20,2,80,UK
100555,P4135,Monitor,39,2023-10-22,86,89,UAE
559037,P9909,Backpack,39,2023-06-26,1,91,Germany
452631,P7717,Shoes,6,2025-08-08,93,52,Canada
112216,P5647,Jeans,1,2025-04-30,57,21,France
420379,P3989,Monitor,25,2023-08-06,46,27,UK
207251,P9973,Monitor,21,2024-10-08,52,93,Canada
106595,P8794,Backpack,12,2023-10-20,42,36,Canada
783092,P9186,Jacket,20,2023-06-29,70,52,Kenya
229615,P6186,Headphones,3,2023-04-05,46,23,Germany
971252,P3394,Headphones,10,2024-09-26,95,100,UAE
599391,P8475,T-Shirt,4,2025-05-17,34,93,USA
606842,P6571,Headphones,43,2023-09-21,58,4,UK
941471,P9868,Jeans,1,2025-06-18,28,22,UAE
948425,P5088,T-Shirt,45,2025-05-17,70,94,UAE
609758,P9858,Jeans,27,2023-05-28,65,71,Germany
494564,P3944,Phone Case,7,2023-10-20,95,58,UAE
140210,P4645,Phone Case,12,2025-01-23,75,37,Canada
975857,P7169,Phone Case,46,2025-04-21,92,9,UAE
809373,P6305,T-Shirt,32,2023-12-25,15,30,USA
338599,P6667,Jeans,28,2025-08-12,96,81,Germany
145145,P1154,Headphones,38,2023-02-21,38,63,USA
556681,P2504,T-Shirt,30,2024-10-29,60,45,UK
110161,P5581,Jacket,48,2023-03-18,27,86,Canada
214038,P7245,Jeans,7,2023-10-12,85,53,France
805161,P2969,Jeans,13,2025-06-26,76,99,USA
178084,P3576,Headphones,28,2025-01-07,9,78,France
706222,P4659,Backpack,11,2024-01-14,83,15,UK
479051,P4155,Jacket,4,2024-04-23,35,53,France
466555,P1920,Keyboard,18,2023-10-04,90,16,Kenya
898696,P1078,Shoes,32,2023-11-30,39,23,Germany
635245,P7134,Backpack,3,2024-10-01,43,2,UAE
651427,P4323,T-Shirt,17,2023-11-10,64,52,UK
921399,P5089,Shoes,40,2025-04-05,64,18,UK
705211,P1967,Monitor,45,2023-12-09,98,76,Kenya
623894,P5998,T-Shirt,16,2023-12-28,77,37,Germany
542105,P7848,Keyboard,11,2025-06-15,13,28,UK
286842,P9842,Jacket,46,2024-08-13,68,98,USA
247526,P3371,Jeans,36,2024-06-20,40,98,Canada
284624,P5914,Jacket,4,2024-02-10,70,23,UK
826303,P8341,Backpack,31,2023-09-17,52,44,Canada
161658,P2752,Laptop,28,2024-09-05,80,92,France
608515,P8858,Phone Case,22,2023-09-27,66,63,UAE
558623,P2585,Jeans,40,2023-04-04,48,33,UK
506447,P7824,Backpack,2,2025-02-03,99,44,UAE
382358,P9442,Headphones,13,2025-07-05,40,84,Kenya
188227,P2929,Laptop,34,2024-11-24,75,100,Canada
427929,P8842,Headphones,40,2025-01-18,80,50,UK
399465,P8157,Jacket,22,2025-05-02,46,81,Germany
903851,P9661,Laptop,1,2024-12-11,92,36,France
435713,P3416,Jacket,26,2023-06-08,39,58,USA
564846,P5071,Headphones,10,2023-11-14,71,16,UAE
997558,P6219,Monitor,12,2025-08-09,13,45,UAE
559285,P2688,Phone Case,8,2023-06-05,31,87,France
782498,P7707,Headphones,5,2023-04-10,4,51,Canada
670174,P5413,Keyboard,2,2025-05-07,30,81,Canada
546206,P7660,Laptop,44,2025-03-27,49,63,Canada
863620,P7989,Headphones,29,2023-04-25,46,27,USA
434173,P9830,Jeans,26,2024-06-18,87,53,Kenya
658151,P1766,Backpack,28,2024-10-28,44,92,Kenya
287920,P3177,Jacket,8,2024-08-25,72,80,UK
996391,P5446,Headphones,2,2023-07-27,17,56,France
771653,P1682,Shoes,35,2024-03-22,76,25,France
503418,P6707,Backpack,21,2024-03-09,2,74,UAE
666769,P7817,T-Shirt,4,2023-05-15,33,4,France
854268,P3185,Keyboard,28,2023-08-29,18,23,Canada
437178,P8062,Phone Case,12,2025-06-22,95,41,Canada
531168,P7784,Backpack,16,2024-05-31,30,38,Kenya
261352,P3473,Backpack,10,2023-08-02,6,5,USA
140788,P5090,T-Shirt,40,2024-12-12,70,59,UK
889080,P3730,Phone Case,12,2024-04-11,40,18,Kenya
504278,P1850,Laptop,17,2024-05-11,63,65,Kenya
316929,P1017,Jeans,23,2024-07-27,84,89,Canada
457002,P9006,Headphones,13,2024-11-16,26,25,Kenya
532979,P1722,Shoes,9,2024-09-24,86,44,UAE
185224,P4963,Laptop,44,2024-04-20,14,22,Germany
189142,P4321,Laptop,2,2025-05-10,97,22,Germany
376138,P3134,Laptop,36,2024-01-05,35,52,Germany
637827,P7700,Monitor,1,2023-01-13,57,17,UAE
974429,P7483,Laptop,48,2025-01-01,22,12,UAE
622216,P9496,Jeans,2,2023-06-03,61,18,UK
735373,P5743,Jacket,31,2025-03-31,69,80,Germany
883259,P6495,Phone Case,47,2024-08-03,11,71,Canada
283681,P5925,Laptop,45,2025-07-03,64,67,USA
491681,P9055,Jeans,18,2024-11-20,98,26,USA
981707,P4398,Jeans,9,2024-11-10,76,41,Canada
783936,P9183,Shoes,10,2023-12-21,8,3,UAE
718455,P8013,Phone Case,46,2024-05-26,51,59,UAE
865188,P7638,Jacket,34,2023-05-25,13,78,UK
673287,P8664,Jeans,21,2023-05-22,24,43,UAE
294878,P6759,Shoes,10,2023-02-15,73,51,USA
227105,P3624,Phone Case,20,2025-02-21,4,30,Canada
351293,P1572,T-Shirt,7,2025-03-31,86,10,UK
308275,P7816,Shoes,26,2024-04-03,57,19,Kenya
695422,P2365,Monitor,31,2024-12-11,87,19,UK
283887,P8695,Jeans,47,2024-08-11,54,83,France
961401,P9878,Keyboard,8,2025-07-03,59,96,UK
470799,P7843,Monitor,23,2025-01-20,16,29,France
945053,P7245,Shoes,19,2024-01-21,9,53,France
107399,P6501,Jacket,46,2024-12-01,30,62,France
159691,P2181,Phone Case,31,2025-04-01,33,19,UAE
968646,P2408,Backpack,8,2023-05-03,84,18,UAE
451142,P8935,Phone Case,14,2023-06-13,50,38,UK
939896,P6712,Jeans,29,2023-04-03,18,67,France
570093,P8878,Backpack,29,2024-04-17,33,62,UK
297162,P2699,Keyboard,4,2025-08-11,18,10,Kenya
612146,P8761,Jacket,32,2025-04-16,93,9,Canada
123186,P2593,Phone Case,41,2023-10-07,75,53,UAE
430322,P8444,T-Shirt,19,2024-02-22,32,1,Canada
325911,P6698,Monitor,10,2024-07-26,21,79,France
103915,P9973,Shoes,21,2023-06-21,57,80,Kenya
822121,P9124,Monitor,41,2025-03-26,32,30,Canada
730934,P1245,Laptop,12,2024-04-10,99,65,UK
373718,P9510,Laptop,24,2024-04-19,85,76,USA
635649,P3959,Headphones,43,2024-12-05,79,47,UK
442416,P5041,Laptop,41,2024-04-04,79,50,Canada
561222,P7753,Monitor,23,2024-01-06,8,34,UAE
425741,P8239,Backpack,41,2023-04-21,12,92,USA
592303,P9932,Phone Case,48,2024-03-30,84,91,UK
481974,P4121,Jeans,19,2025-05-26,20,12,Kenya
955245,P8708,Laptop,4,2024-05-03,9,66,USA
434821,P1852,Backpack,47,2025-06-29,62,17,USA
504581,P8278,Keyboard,21,2025-06-10,98,2,Canada
826179,P6639,Shoes,6,2023-02-22,11,99,Germany
452191,P4142,Monitor,36,2023-04-23,48,65,UAE
853919,P1096,Shoes,44,2025-01-10,47,44,Germany
723639,P8736,Shoes,38,2024-08-07,16,59,UK
149547,P7860,Monitor,42,2025-01-04,83,14,UK
901006,P1305,Monitor,28,2023-10-03,57,17,USA
662050,P4893,Backpack,16,2025-06-16,12,64,UAE
777513,P5606,Jacket,40,2025-01-09,27,76,Canada
479205,P7024,T-Shirt,33,2025-04-20,61,4,Canada
539525,P7840,Backpack,25,2024-03-20,11,52,Kenya
901245,P7933,Jeans,17,2024-04-07,63,34,Germany
894839,P2516,Backpack,3,2023-03-26,49,81,USA
605426,P9536,Monitor,23,2023-04-28,33,72,UK
285726,P2154,Shoes,37,2024-10-27,83,78,Kenya
324342,P1907,Headphones,32,2024-12-25,66,46,USA
112347,P7791,Backpack,16,2024-05-22,40,49,USA
882796,P7330,Keyboard,28,2025-03-16,8,10,Kenya
609787,P8818,Keyboard,40,2025-07-27,10,46,USA
292773,P7964,Laptop,20,2025-07-23,40,72,Kenya
594313,P9582,Jeans,3,2025-01-29,74,100,Germany
253916,P9033,Phone Case,9,2025-02-09,34,29,UAE
863793,P3820,T-Shirt,28,2025-03-01,54,5,Canada
968020,P5054,Headphones,40,2025-07-26,30,24,UAE
724168,P6008,Laptop,37,2024-02-27,47,78,USA
112629,P8621,Jacket,9,2023-05-20,8,50,UK
517477,P5051,Headphones,23,2025-04-04,83,93,Canada
933281,P1742,Backpack,6,2023-10-27,71,90,USA
164415,P2692,T-Shirt,4,2023-02-08,44,34,USA
878476,P5655,Headphones,20,2025-06-26,27,54,UK
232245,P7333,Jacket,23,2023-05-01,53,3,UAE
637715,P4204,Monitor,28,2025-01-17,73,54,France
928120,P2907,Monitor,48,2023-07-23,13,59,UK
567935,P8520,Headphones,11,2024-05-22,81,44,Germany
961766,P9370,T-Shirt,29,2023-09-07,2,75,France
373363,P1277,Backpack,42,2023-08-20,85,18,UAE
546922,P6614,Keyboard,28,2024-09-19,80,83,Canada
501886,P2952,Monitor,12,2024-03-29,41,17,Canada
986516,P8731,Shoes,8,2023-09-02,64,60,France
388977,P1324,Headphones,7,2025-07-16,85,59,USA
948349,P9079,Laptop,3,2024-10-06,89,45,Germany
847453,P2653,Backpack,22,2025-05-05,28,54,France
885722,P6505,Jeans,41,2023-07-11,10,42,USA
637031,P7638,Backpack,18,2023-07-16,13,71,UK
726673,P8718,Headphones,22,2025-04-25,17,65,France
991550,P1797,Shoes,10,2025-02-07,60,22,Kenya
472489,P3538,Headphones,34,2025-06-22,75,85,Canada
827655,P7414,Headphones,2,2023-05-29,87,30,France
639839,P4704,Backpack,45,2024-10-02,12,97,UK
803620,P7455,Backpack,44,2024-09-23,79,46,UAE
456265,P9593,Headphones,26,2025-02-12,26,31,USA
639806,P8192,Jeans,31,2024-05-20,95,38,Germany
536358,P5964,T-Shirt,2,2025-07-14,32,4,UK
949114,P2567,Jeans,10,2023-02-26,65,65,UK
857649,P6359,Shoes,11,2025-05-06,1,19,Germany
338558,P7938,Jacket,40,2024-06-27,44,87,Germany
324623,P4959,Monitor,35,2025-06-12,24,63,France
299968,P4997,Backpack,26,2024-12-24,65,19,USA
509644,P1502,Jacket,31,2025-06-04,1,8,UK
794547,P9154,Backpack,13,2023-09-22,35,39,Germany
127859,P8286,Keyboard,33,2023-07-27,67,6,UK
628929,P1479,Jeans,35,2023-06-27,76,90,France
514873,P8205,Jacket,4,2024-01-16,3,43,UK
947726,P8911,Headphones,13,2023-11-16,40,1,France
730385,P9919,Headphones,27,2023-10-18,39,25,UAE
485642,P8197,T-Shirt,4,2024-01-22,67,7,USA
338722,P5634,Keyboard,10,2023-10-24,10,18,UAE
737899,P8737,Headphones,5,2025-04-09,62,97,Canada
773505,P1855,Jeans,43,2024-05-22,31,2,UK
376113,P5344,Monitor,1,2023-06-07,52,32,UAE
436981,P9759,T-Shirt,3,2023-09-17,34,10,Kenya
968662,P4762,Laptop,30,2023-04-20,88,48,UK
725920,P4765,Backpack,5,2023-10-28,24,43,UAE
502873,P4435,Shoes,17,2024-08-08,32,55,UAE
697914,P5172,Jacket,23,2024-10-01,76,59,USA
369712,P5600,Headphones,10,2023-06-27,12,86,UK
817278,P9579,Laptop,39,2023-10-12,67,98,Germany
574594,P7366,Shoes,43,2024-01-17,62,99,Germany
160879,P7873,Phone Case,35,2024-08-30,96,61,Canada
299608,P7864,Shoes,29,2024-03-28,77,78,USA
